Land,Jahr,Produktion Windenergie (TWh),Produktion Wasserkraft (TWh),Produktion Solarenergie (TWh),Produktion Biomasse (TWh)
United Kingdom,2007,5.27,5.08,0.01,9.33
United Kingdom,2008,7.12,5.14,0.02,9.57
United Kingdom,2009,9.28,5.23,0.02,10.72
United Kingdom,2010,10.29,3.59,0.04,12.26
United Kingdom,2011,15.96,5.69,0.24,13.31
United Kingdom,2012,19.85,5.31,1.35,14.73
United Kingdom,2013,28.4,4.7,2.01,18.1
United Kingdom,2014,31.96,5.89,4.05,22.62
United Kingdom,2015,40.27,6.3,7.53,28.47
United Kingdom,2016,37.16,5.37,10.4,30.06
United Kingdom,2017,49.64,5.88,11.46,31.87
United Kingdom,2018,56.91,5.44,12.74,34.94
United Kingdom,2019,64.33,5.93,12.92,37.3
United Kingdom,2020,73.64,6.68,13.32,38.1
United Kingdom,2021,65.02,5.59,12.47,39.12
