Land,Jahr,CO2 emissions (billion t),Population,CO2 emissions per capita (t),CO2 emissions 1990,Relative change CO2 since 1990,CO2 emissions per capita 1990,Relative change CO2 per capita since 1990
Switzerland,1997,0.04304748,7086993,6.07,0.04415988,-2.52,6.58,-7.75
Switzerland,1998,0.044622852,7108225,6.28,0.04415988,1.05,6.58,-4.56
Switzerland,1999,0.044445644,7142199,6.22,0.04415988,0.65,6.58,-5.47
Switzerland,2000,0.04362237,7182052,6.07,0.04415988,-1.22,6.58,-7.75
Switzerland,2001,0.0450775,7224413,6.24,0.04415988,2.08,6.58,-5.17
Switzerland,2002,0.043463864,7276479,5.97,0.04415988,-1.58,6.58,-9.27
Switzerland,2003,0.044647716,7330729,6.09,0.04415988,1.1,6.58,-7.45
Switzerland,2004,0.045238264,7381153,6.13,0.04415988,2.44,6.58,-6.84
Switzerland,2005,0.045778556,7428437,6.16,0.04415988,3.67,6.58,-6.38
Switzerland,2006,0.045373348,7475014,6.07,0.04415988,2.75,6.58,-7.75
Switzerland,2007,0.04336876,7541909,5.75,0.04415988,-1.79,6.58,-12.61
Switzerland,2008,0.044710572,7638288,5.85,0.04415988,1.25,6.58,-11.09
Switzerland,2009,0.04353855,7734402,5.63,0.04415988,-1.41,6.58,-14.44
Switzerland,2010,0.045045708,7822444,5.76,0.04415988,2.01,6.58,-12.46
Switzerland,2011,0.04098523,7910988,5.18,0.04415988,-7.19,6.58,-21.28
Switzerland,2012,0.04225303,7995738,5.28,0.04415988,-4.32,6.58,-19.76
Switzerland,2013,0.043187724,8088370,5.34,0.04415988,-2.2,6.58,-18.84
Switzerland,2014,0.03923363,8187792,4.79,0.04415988,-11.16,6.58,-27.2
Switzerland,2015,0.03873182,8281735,4.68,0.04415988,-12.29,6.58,-28.88
Switzerland,2016,0.03918534,8372902,4.68,0.04415988,-11.26,6.58,-28.88
Switzerland,2017,0.038178644,8451688,4.52,0.04415988,-13.54,6.58,-31.31
Switzerland,2018,0.036873816,8514431,4.33,0.04415988,-16.5,6.58,-34.19
Switzerland,2019,0.036733064,8575593,4.28,0.04415988,-16.82,6.58,-34.95
Switzerland,2020,0.03424097,8638609,3.96,0.04415988,-22.46,6.58,-39.82
Switzerland,2021,0.034931692,8691409,4.02,0.04415988,-20.9,6.58,-38.91
United Kingdom,1990,0.6019451,57210444,10.52,0.6019451,0.0,10.52,0.0
United Kingdom,1991,0.6094127,57359452,10.62,0.6019451,1.24,10.52,0.95
United Kingdom,1992,0.59384595,57509240,10.33,0.6019451,-1.35,10.52,-1.81
United Kingdom,1993,0.57961254,57647464,10.05,0.6019451,-3.71,10.52,-4.47
United Kingdom,1994,0.5740169,57785900,9.93,0.6019451,-4.64,10.52,-5.61
United Kingdom,1995,0.5661589,57930364,9.77,0.6019451,-5.95,10.52,-7.13
United Kingdom,1996,0.5867607,58078584,10.1,0.6019451,-2.52,10.52,-3.99
United Kingdom,1997,0.56270816,58250192,9.66,0.6019451,-6.52,10.52,-8.17
United Kingdom,1998,0.5685437,58438320,9.73,0.6019451,-5.55,10.52,-7.51
United Kingdom,1999,0.5616496,58635204,9.58,0.6019451,-6.69,10.52,-8.94
United Kingdom,2000,0.56903366,58850044,9.67,0.6019451,-5.47,10.52,-8.08
United Kingdom,2001,0.57797056,59092016,9.78,0.6019451,-3.98,10.52,-7.03
United Kingdom,2002,0.5602732,59355688,9.44,0.6019451,-6.92,10.52,-10.27
United Kingdom,2003,0.57161875,59649800,9.58,0.6019451,-5.04,10.52,-8.94
United Kingdom,2004,0.57342976,59995852,9.56,0.6019451,-4.74,10.52,-9.13
United Kingdom,2005,0.57033837,60383740,9.45,0.6019451,-5.25,10.52,-10.17
United Kingdom,2006,0.5678456,60803700,9.34,0.6019451,-5.66,10.52,-11.22
United Kingdom,2007,0.55956646,61260680,9.13,0.6019451,-7.04,10.52,-13.21
United Kingdom,2008,0.5449324,61742152,8.83,0.6019451,-9.47,10.52,-16.06
United Kingdom,2009,0.4941077,62243384,7.94,0.6019451,-17.91,10.52,-24.52
United Kingdom,2010,0.51190458,62760048,8.16,0.6019451,-14.96,10.52,-22.43
United Kingdom,2011,0.4697133,63286360,7.42,0.6019451,-21.97,10.52,-29.47
United Kingdom,2012,0.48747677,63808728,7.64,0.6019451,-19.02,10.52,-27.38
United Kingdom,2013,0.47761126,64302296,7.43,0.6019451,-20.66,10.52,-29.37
United Kingdom,2014,0.43880707,64773504,6.77,0.6019451,-27.1,10.52,-35.65
United Kingdom,2015,0.4224608,65224368,6.48,0.6019451,-29.82,10.52,-38.4
United Kingdom,2016,0.39943014,65655204,6.08,0.6019451,-33.64,10.52,-42.21
United Kingdom,2017,0.38736714,66064808,5.86,0.6019451,-35.65,10.52,-44.3
United Kingdom,2018,0.37972976,66432996,5.72,0.6019451,-36.92,10.52,-45.63
United Kingdom,2019,0.36475328,66778660,5.46,0.6019451,-39.4,10.52,-48.1
United Kingdom,2020,0.3262632,67059472,4.87,0.6019451,-45.8,10.52,-53.71
United Kingdom,2021,0.3467732,67281040,5.15,0.6019451,-42.39,10.52,-51.05
