Entity,Code,Year,Wind Capacity
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.23700000000000002
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.8940000000000001
Brazil,BRA,2013,2.20202
Brazil,BRA,2014,4.888053
Brazil,BRA,2015,7.633115
Brazil,BRA,2016,10.129155
Brazil,BRA,2017,12.304272000000001
Brazil,BRA,2018,14.843093999999999
Brazil,BRA,2019,15.438379000000001
Brazil,BRA,2020,17.198324
Brazil,BRA,2021,21.161270000000002
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.6990000000000001
Bulgaria,BGR,2015,0.6990000000000001
Bulgaria,BGR,2016,0.6990000000000001
Bulgaria,BGR,2017,0.69839
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.70312
Bulgaria,BGR,2020,0.7028
Bulgaria,BGR,2021,0.7048
CIS (BP),,2000,0.0032500000000000003
CIS (BP),,2001,0.0036000000000000003
CIS (BP),,2002,0.0081
CIS (BP),,2003,0.0101
CIS (BP),,2004,0.0101
CIS (BP),,2005,0.0111
CIS (BP),,2006,0.0111
CIS (BP),,2007,0.0119
CIS (BP),,2008,0.0119
CIS (BP),,2009,0.013900000000000001
CIS (BP),,2010,0.013900000000000001
CIS (BP),,2011,0.014
CIS (BP),,2012,0.0185
CIS (BP),,2013,0.0237
CIS (BP),,2014,0.07451
CIS (BP),,2015,0.112655
CIS (BP),,2016,0.18675999999999998
CIS (BP),,2017,0.22375
CIS (BP),,2018,0.3321
CIS (BP),,2019,0.56445
CIS (BP),,2020,1.61035
CIS (BP),,2021,3.3051
Canada,CAN,1997,0.026000000000000002
Canada,CAN,1998,0.083
Canada,CAN,1999,0.126
Canada,CAN,2000,0.092
Canada,CAN,2001,0.131
Canada,CAN,2002,0.161
Canada,CAN,2003,0.327
Canada,CAN,2004,0.444
Canada,CAN,2005,0.677
Canada,CAN,2006,1.423
Canada,CAN,2007,1.84
Canada,CAN,2008,2.336
Canada,CAN,2009,3.282
Canada,CAN,2010,3.967
Canada,CAN,2011,5.265
Canada,CAN,2012,6.2010000000000005
Canada,CAN,2013,7.801
Canada,CAN,2014,9.694
Canada,CAN,2015,11.214
Canada,CAN,2016,11.973
Canada,CAN,2017,12.25
Canada,CAN,2018,12.816
Canada,CAN,2019,13.413
Canada,CAN,2020,13.626959999999999
Canada,CAN,2021,14.30356
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.002
Chile,CHL,2002,0.002
Chile,CHL,2003,0.002
Chile,CHL,2004,0.002
Chile,CHL,2005,0.002
Chile,CHL,2006,0.002
Chile,CHL,2007,0.02
Chile,CHL,2008,0.02
Chile,CHL,2009,0.163
Chile,CHL,2010,0.163
Chile,CHL,2011,0.184
Chile,CHL,2012,0.202
Chile,CHL,2013,0.301
Chile,CHL,2014,0.736
Chile,CHL,2015,0.91
Chile,CHL,2016,1.039
Chile,CHL,2017,1.305
Chile,CHL,2018,1.524
Chile,CHL,2019,1.620074
Chile,CHL,2020,2.1489960000000004
Chile,CHL,2021,3.137006
China,CHN,1997,0.146
China,CHN,1998,0.2
China,CHN,1999,0.262
China,CHN,2000,0.341
China,CHN,2001,0.383
China,CHN,2002,0.449
China,CHN,2003,0.547
China,CHN,2004,0.763
China,CHN,2005,1.06
China,CHN,2006,2.07
China,CHN,2007,4.2
China,CHN,2008,8.387728
China,CHN,2009,17.599408
China,CHN,2010,29.633479
China,CHN,2011,46.3546
China,CHN,2012,61.59687
China,CHN,2013,76.73053
China,CHN,2014,96.81913
China,CHN,2015,131.04773
China,CHN,2016,148.51689000000002
China,CHN,2017,164.37448
China,CHN,2018,184.66488
China,CHN,2019,209.5819
China,CHN,2020,282.11266
China,CHN,2021,328.97344
Costa Rica,CRI,1997,0.023
Costa Rica,CRI,1998,0.027
Costa Rica,CRI,1999,0.035
Costa Rica,CRI,2000,0.0425
Costa Rica,CRI,2001,0.0623
Costa Rica,CRI,2002,0.0623
Costa Rica,CRI,2003,0.0686
Costa Rica,CRI,2004,0.0686
Costa Rica,CRI,2005,0.0686
Costa Rica,CRI,2006,0.0686
Costa Rica,CRI,2007,0.066
Costa Rica,CRI,2008,0.066
Costa Rica,CRI,2009,0.1155
Costa Rica,CRI,2010,0.1155
Costa Rica,CRI,2011,0.12830000000000003
Costa Rica,CRI,2012,0.1436
Costa Rica,CRI,2013,0.1436
Costa Rica,CRI,2014,0.1931
Costa Rica,CRI,2015,0.2721
Costa Rica,CRI,2016,0.36510000000000004
Costa Rica,CRI,2017,0.37782
Costa Rica,CRI,2018,0.40776999999999997
Costa Rica,CRI,2019,0.41092
Costa Rica,CRI,2020,0.39352
Costa Rica,CRI,2021,0.39352
Denmark,DNK,1997,1.116
Denmark,DNK,1998,1.42
Denmark,DNK,1999,1.738
Denmark,DNK,2000,2.390015
Denmark,DNK,2001,2.497153
Denmark,DNK,2002,2.894531
Denmark,DNK,2003,3.1199160000000004
Denmark,DNK,2004,3.1237120000000003
Denmark,DNK,2005,3.127836
Denmark,DNK,2006,3.135696
Denmark,DNK,2007,3.124214
Denmark,DNK,2008,3.16287
Denmark,DNK,2009,3.482087
Denmark,DNK,2010,3.801829
Denmark,DNK,2011,3.9519810000000004
Denmark,DNK,2012,4.161941
Denmark,DNK,2013,4.818923
Denmark,DNK,2014,4.8864030000000005
Denmark,DNK,2015,5.0769660000000005
Denmark,DNK,2016,5.2451419999999995
Denmark,DNK,2017,5.488949
Denmark,DNK,2018,6.115046
Denmark,DNK,2019,6.102939999999999
Denmark,DNK,2020,6.259455
Denmark,DNK,2021,7.013565
Egypt,EGY,1997,0.006
Egypt,EGY,1998,0.006
Egypt,EGY,1999,0.036000000000000004
Egypt,EGY,2000,0.074
Egypt,EGY,2001,0.074
Egypt,EGY,2002,0.074
Egypt,EGY,2003,0.074
Egypt,EGY,2004,0.15
Egypt,EGY,2005,0.15
Egypt,EGY,2006,0.23500000000000001
Egypt,EGY,2007,0.315
Egypt,EGY,2008,0.395
Egypt,EGY,2009,0.44
Egypt,EGY,2010,0.555
Egypt,EGY,2011,0.555
Egypt,EGY,2012,0.555
Egypt,EGY,2013,0.555
Egypt,EGY,2014,0.555
Egypt,EGY,2015,0.755
Egypt,EGY,2016,0.755
Egypt,EGY,2017,0.755
Egypt,EGY,2018,1.1300000000000001
Egypt,EGY,2019,1.1320000000000001
Egypt,EGY,2020,1.3800000000000001
Egypt,EGY,2021,1.6400000000000001
Europe,,1997,4.801
Europe,,1998,6.3741
Europe,,1999,9.2708
Europe,,2000,12.733664000000001
Europe,,2001,17.395334
Europe,,2002,23.294012
Europe,,2003,28.160846000000003
Europe,,2004,34.328266000000006
Europe,,2005,40.69319
Europe,,2006,47.927800000000005
Europe,,2007,56.34890600000001
Europe,,2008,64.063395
Europe,,2009,75.81564
Europe,,2010,84.92835000000001
Europe,,2011,94.72223
Europe,,2012,107.20097
Europe,,2013,118.1839
Europe,,2014,130.21045
Europe,,2015,142.99906000000001
Europe,,2016,155.73210999999998
Europe,,2017,170.57127
Europe,,2018,181.88416
Europe,,2019,196.35016000000002
Europe,,2020,208.73247
Europe,,2021,223.9155
Europe (BP),,1997,4.8100000000000005
Europe (BP),,1998,6.383100000000001
Europe (BP),,1999,9.2798
Europe (BP),,2000,12.749665000000002
Europe (BP),,2001,17.411331999999998
Europe (BP),,2002,23.306012
Europe (BP),,2003,28.170846
Europe (BP),,2004,34.338266000000004
Europe (BP),,2005,40.704190000000004
Europe (BP),,2006,47.976800000000004
Europe (BP),,2007,56.484906
Europe (BP),,2008,64.417395
Europe (BP),,2009,76.59764
Europe (BP),,2010,86.23835000000001
Europe (BP),,2011,96.44123
Europe (BP),,2012,109.45197
Europe (BP),,2013,120.9339
Europe (BP),,2014,133.83045
Europe (BP),,2015,147.49116
Europe (BP),,2016,161.47220000000002
Europe (BP),,2017,177.07652
Europe (BP),,2018,188.83764000000002
Europe (BP),,2019,203.83942000000002
Europe (BP),,2020,216.61952
Europe (BP),,2021,232.56745
Finland,FIN,1997,0.012
Finland,FIN,1998,0.018000000000000002
Finland,FIN,1999,0.039
Finland,FIN,2000,0.038
Finland,FIN,2001,0.039
Finland,FIN,2002,0.043000000000000003
Finland,FIN,2003,0.052000000000000005
Finland,FIN,2004,0.082
Finland,FIN,2005,0.082
Finland,FIN,2006,0.08600000000000001
Finland,FIN,2007,0.11
Finland,FIN,2008,0.14300000000000002
Finland,FIN,2009,0.147
Finland,FIN,2010,0.197
Finland,FIN,2011,0.199
Finland,FIN,2012,0.257
Finland,FIN,2013,0.447
Finland,FIN,2014,0.627
Finland,FIN,2015,1.0050000000000001
Finland,FIN,2016,1.565
Finland,FIN,2017,2.044
Finland,FIN,2018,2.041
Finland,FIN,2019,2.2840000000000003
Finland,FIN,2020,2.586
Finland,FIN,2021,3.257
France,FRA,1997,0.013000000000000001
France,FRA,1998,0.021
France,FRA,1999,0.025
France,FRA,2000,0.038
France,FRA,2001,0.066
France,FRA,2002,0.138
France,FRA,2003,0.218
France,FRA,2004,0.358
France,FRA,2005,0.6900000000000001
France,FRA,2006,1.412
France,FRA,2007,2.223
France,FRA,2008,3.403
France,FRA,2009,4.582
France,FRA,2010,5.912
France,FRA,2011,6.758016
France,FRA,2012,7.607496
France,FRA,2013,8.155961
France,FRA,2014,9.201424999999999
France,FRA,2015,10.29818
France,FRA,2016,11.566564000000001
France,FRA,2017,13.499357
France,FRA,2018,14.900146000000001
France,FRA,2019,16.456854
France,FRA,2020,17.484002
France,FRA,2021,18.676002
Germany,DEU,1997,2.089
Germany,DEU,1998,2.8770000000000002
Germany,DEU,1999,4.4350000000000005
Germany,DEU,2000,6.095
Germany,DEU,2001,8.754
Germany,DEU,2002,12.001
Germany,DEU,2003,14.381
Germany,DEU,2004,16.419
Germany,DEU,2005,18.248
Germany,DEU,2006,20.474
Germany,DEU,2007,22.116
Germany,DEU,2008,22.794
Germany,DEU,2009,25.732
Germany,DEU,2010,26.903000000000002
Germany,DEU,2011,28.712
Germany,DEU,2012,30.979
Germany,DEU,2013,33.477000000000004
Germany,DEU,2014,38.614000000000004
Germany,DEU,2015,44.58
Germany,DEU,2016,49.435
Germany,DEU,2017,55.58
Germany,DEU,2018,58.721000000000004
Germany,DEU,2019,60.742000000000004
Germany,DEU,2020,62.188
Germany,DEU,2021,63.76
Greece,GRC,1997,0.029
Greece,GRC,1998,0.0381
Greece,GRC,1999,0.1058
Greece,GRC,2000,0.226
Greece,GRC,2001,0.27
Greece,GRC,2002,0.28700000000000003
Greece,GRC,2003,0.371
Greece,GRC,2004,0.47000000000000003
Greece,GRC,2005,0.491
Greece,GRC,2006,0.749
Greece,GRC,2007,0.846
Greece,GRC,2008,1.022
Greece,GRC,2009,1.171
Greece,GRC,2010,1.298
Greece,GRC,2011,1.6400000000000001
Greece,GRC,2012,1.7530000000000001
Greece,GRC,2013,1.809
Greece,GRC,2014,1.978
Greece,GRC,2015,2.091
Greece,GRC,2016,2.37
Greece,GRC,2017,2.624
Greece,GRC,2018,2.877495
Greece,GRC,2019,3.589
Greece,GRC,2020,4.11925
Greece,GRC,2021,4.45725
High-income countries,,1997,6.445075
High-income countries,,1998,8.622174999999999
High-income countries,,1999,11.936555
High-income countries,,2000,15.336265
High-income countries,,2001,21.634203000000003
High-income countries,,2002,28.230021
High-income countries,,2003,35.145906000000004
High-income countries,,2004,42.3918
High-income countries,,2005,52.081445
High-income countries,,2006,63.402605
High-income countries,,2007,77.706016
High-income countries,,2008,94.42013
High-income countries,,2009,117.29926
High-income countries,,2010,131.76678
High-income countries,,2011,148.99736
High-income countries,,2012,175.1225
High-income countries,,2013,188.44655
High-income countries,,2014,207.45534
High-income countries,,2015,231.17795
High-income countries,,2016,254.54794
High-income countries,,2017,277.13322
High-income countries,,2018,296.60190000000006
High-income countries,,2019,321.7497
High-income countries,,2020,351.42278000000005
High-income countries,,2021,381.2118
India,IND,1997,0.9400000000000001
India,IND,1998,0.992
India,IND,1999,1.035
India,IND,2000,0.9410000000000001
India,IND,2001,1.563
India,IND,2002,1.606
India,IND,2003,2.461
India,IND,2004,3.813
India,IND,2005,4.4338999999999995
India,IND,2006,6.315
India,IND,2007,7.84452
India,IND,2008,10.2425
India,IND,2009,10.925
India,IND,2010,13.184000000000001
India,IND,2011,16.179000000000002
India,IND,2012,17.2997
India,IND,2013,18.4204
India,IND,2014,22.4653
India,IND,2015,25.08819
India,IND,2016,28.70044
India,IND,2017,32.84846
India,IND,2018,35.2881
India,IND,2019,37.50518
India,IND,2020,38.5586
India,IND,2021,40.067266000000004
Iran,IRN,1997,0.009000000000000001
Iran,IRN,1998,0.009000000000000001
Iran,IRN,1999,0.009000000000000001
Iran,IRN,2000,0.011
Iran,IRN,2001,0.011
Iran,IRN,2002,0.012
Iran,IRN,2003,0.016
Iran,IRN,2004,0.0249
Iran,IRN,2005,0.037
Iran,IRN,2006,0.047
Iran,IRN,2007,0.063
Iran,IRN,2008,0.063
Iran,IRN,2009,0.092
Iran,IRN,2010,0.095
Iran,IRN,2011,0.09820999999999999
Iran,IRN,2012,0.10613
Iran,IRN,2013,0.10763
Iran,IRN,2014,0.14878
Iran,IRN,2015,0.15344
Iran,IRN,2016,0.19094
Iran,IRN,2017,0.259
Iran,IRN,2018,0.28200000000000003
Iran,IRN,2019,0.30492
Iran,IRN,2020,0.30807999999999996
Iran,IRN,2021,0.3102
Ireland,IRL,1997,0.053
Ireland,IRL,1998,0.064
Ireland,IRL,1999,0.074
Ireland,IRL,2000,0.1165
Ireland,IRL,2001,0.12290000000000001
Ireland,IRL,2002,0.1348
Ireland,IRL,2003,0.21030000000000001
Ireland,IRL,2004,0.3364
Ireland,IRL,2005,0.4933
Ireland,IRL,2006,0.6765
Ireland,IRL,2007,0.7405
Ireland,IRL,2008,0.9423
Ireland,IRL,2009,1.2513
Ireland,IRL,2010,1.3904
Ireland,IRL,2011,1.5846
Ireland,IRL,2012,1.70435
Ireland,IRL,2013,1.9233
Ireland,IRL,2014,2.2832500000000002
Ireland,IRL,2015,2.45115
Ireland,IRL,2016,2.80165
Ireland,IRL,2017,3.31915
Ireland,IRL,2018,3.67385
Ireland,IRL,2019,4.12645
Ireland,IRL,2020,4.3067
Ireland,IRL,2021,4.332050000000001
Italy,ITA,1997,0.10300000000000001
Italy,ITA,1998,0.197
Italy,ITA,1999,0.277
Italy,ITA,2000,0.363
Italy,ITA,2001,0.664
Italy,ITA,2002,0.78
Italy,ITA,2003,0.874
Italy,ITA,2004,1.127
Italy,ITA,2005,1.635
Italy,ITA,2006,1.9020000000000001
Italy,ITA,2007,2.702
Italy,ITA,2008,3.525
Italy,ITA,2009,4.8790000000000004
Italy,ITA,2010,5.7940000000000005
Italy,ITA,2011,6.918
Italy,ITA,2012,8.102
Italy,ITA,2013,8.542
Italy,ITA,2014,8.683
Italy,ITA,2015,9.137
Italy,ITA,2016,9.384
Italy,ITA,2017,9.736578
Italy,ITA,2018,10.230246
Italy,ITA,2019,10.679459999999999
Italy,ITA,2020,10.870622
Italy,ITA,2021,11.275622
Japan,JPN,1997,0.017
Japan,JPN,1998,0.03
Japan,JPN,1999,0.068
Japan,JPN,2000,0.084
Japan,JPN,2001,0.17500000000000002
Japan,JPN,2002,0.277
Japan,JPN,2003,0.508
Japan,JPN,2004,0.769
Japan,JPN,2005,1.227
Japan,JPN,2006,1.805
Japan,JPN,2007,1.5270000000000001
Japan,JPN,2008,1.756
Japan,JPN,2009,1.997
Japan,JPN,2010,2.294
Japan,JPN,2011,2.419
Japan,JPN,2012,2.562
Japan,JPN,2013,2.646
Japan,JPN,2014,2.753
Japan,JPN,2015,2.8080000000000003
Japan,JPN,2016,3.247
Japan,JPN,2017,3.483
Japan,JPN,2018,3.498
Japan,JPN,2019,3.951
Japan,JPN,2020,4.371
Japan,JPN,2021,4.471
Jordan,JOR,2000,0.0014
Jordan,JOR,2001,0.0014
Jordan,JOR,2002,0.0014
Jordan,JOR,2003,0.0014
Jordan,JOR,2004,0.0014
Jordan,JOR,2005,0.0014
Jordan,JOR,2006,0.0014
Jordan,JOR,2007,0.0014
Jordan,JOR,2008,0.0014
Jordan,JOR,2009,0.0014
Jordan,JOR,2010,0.0014
Jordan,JOR,2011,0.0014
Jordan,JOR,2012,0.0014
Jordan,JOR,2013,0.0014
Jordan,JOR,2014,0.0014
Jordan,JOR,2015,0.1184
Jordan,JOR,2016,0.19840000000000002
Jordan,JOR,2017,0.19840000000000002
Jordan,JOR,2018,0.2804
Jordan,JOR,2019,0.373
Jordan,JOR,2020,0.51801
Jordan,JOR,2021,0.62151
Lower-middle-income countries,,1997,0.9550000000000001
Lower-middle-income countries,,1998,1.0110000000000001
Lower-middle-income countries,,1999,1.108
Lower-middle-income countries,,2000,1.09565
Lower-middle-income countries,,2001,1.7488800000000002
Lower-middle-income countries,,2002,1.80288
Lower-middle-income countries,,2003,2.67877
Lower-middle-income countries,,2004,4.13267
Lower-middle-income countries,,2005,4.80387
Lower-middle-income countries,,2006,6.7799700000000005
Lower-middle-income countries,,2007,8.470889999999999
Lower-middle-income countries,,2008,10.95587
Lower-middle-income countries,,2009,11.85669
Lower-middle-income countries,,2010,14.23569
Lower-middle-income countries,,2011,17.3259
Lower-middle-income countries,,2012,18.725984
Lower-middle-income countries,,2013,20.279086
Lower-middle-income countries,,2014,25.255436000000003
Lower-middle-income countries,,2015,28.282785
Lower-middle-income countries,,2016,32.326934
Lower-middle-income countries,,2017,36.894516
Lower-middle-income countries,,2018,40.403625
Lower-middle-income countries,,2019,43.348625
Lower-middle-income countries,,2020,44.977438
Lower-middle-income countries,,2021,47.23652
Mexico,MEX,1997,0.002
Mexico,MEX,1998,0.002
Mexico,MEX,1999,0.002
Mexico,MEX,2000,0.017
Mexico,MEX,2001,0.017
Mexico,MEX,2002,0.018000000000000002
Mexico,MEX,2003,0.018000000000000002
Mexico,MEX,2004,0.018000000000000002
Mexico,MEX,2005,0.018000000000000002
Mexico,MEX,2006,0.101
Mexico,MEX,2007,0.101
Mexico,MEX,2008,0.101
Mexico,MEX,2009,0.425
Mexico,MEX,2010,0.519
Mexico,MEX,2011,0.601
Mexico,MEX,2012,1.815
Mexico,MEX,2013,2.122
Mexico,MEX,2014,2.569
Mexico,MEX,2015,3.271
Mexico,MEX,2016,4.051
Mexico,MEX,2017,4.199372
Mexico,MEX,2018,4.875635
Mexico,MEX,2019,6.050260000000001
Mexico,MEX,2020,6.504433
Mexico,MEX,2021,7.69153
Middle East (BP),,1997,0.009000000000000001
Middle East (BP),,1998,0.009000000000000001
Middle East (BP),,1999,0.009000000000000001
Middle East (BP),,2000,0.012400000000000001
Middle East (BP),,2001,0.012400000000000001
Middle East (BP),,2002,0.0194
Middle East (BP),,2003,0.0234
Middle East (BP),,2004,0.0329
Middle East (BP),,2005,0.045
Middle East (BP),,2006,0.055
Middle East (BP),,2007,0.07100000000000001
Middle East (BP),,2008,0.071675
Middle East (BP),,2009,0.100675
Middle East (BP),,2010,0.10368000000000001
Middle East (BP),,2011,0.10689
Middle East (BP),,2012,0.11531000000000001
Middle East (BP),,2013,0.12156
Middle East (BP),,2014,0.16456
Middle East (BP),,2015,0.28622000000000003
Middle East (BP),,2016,0.42327
Middle East (BP),,2017,0.50408
Middle East (BP),,2018,0.6090800000000001
Middle East (BP),,2019,0.7751
Middle East (BP),,2020,0.92327
Middle East (BP),,2021,1.02889
Morocco,MAR,1997,0
Morocco,MAR,1998,0.002
Morocco,MAR,1999,0.02
Morocco,MAR,2000,0.054
Morocco,MAR,2001,0.054
Morocco,MAR,2002,0.054
Morocco,MAR,2003,0.054
Morocco,MAR,2004,0.054
Morocco,MAR,2005,0.054
Morocco,MAR,2006,0.054
Morocco,MAR,2007,0.114
Morocco,MAR,2008,0.114
Morocco,MAR,2009,0.221
Morocco,MAR,2010,0.221
Morocco,MAR,2011,0.255
Morocco,MAR,2012,0.255
Morocco,MAR,2013,0.495
Morocco,MAR,2014,0.797
Morocco,MAR,2015,0.797
Morocco,MAR,2016,0.897
Morocco,MAR,2017,1.0230000000000001
Morocco,MAR,2018,1.225
Morocco,MAR,2019,1.225
Morocco,MAR,2020,1.405
Morocco,MAR,2021,1.435
Netherlands,NLD,1997,0.329
Netherlands,NLD,1998,0.379
